CATEGORY,MCG,MCG_DESC,CATEGORY_DESC
4511,1.0,Airlines,Airlines and Air Carriers
3000,1.0,Airlines,United Airlines
3001,1.0,Airlines,American Airlines
3005,1.0,Airlines,British Airways
3006,1.0,Airlines,Japan Air Lines
3008,1.0,Airlines,Lufthansa
3009,1.0,Airlines,Air Canada
3010,1.0,Airlines,KLM
3022,1.0,Airlines,PAL AIR
3025,1.0,Airlines,Air New Zealand Ltd.
3029,1.0,Airlines,SN Brussels Airlines - SN BRUSSELS
3039,1.0,Airlines,Avianca
3043,1.0,Airlines,Aer Lingus
3047,1.0,Airlines,THY (Turkey)
3050,1.0,Airlines,Icelandair
3052,1.0,Airlines,LANAIR
3056,1.0,Airlines,JetAir
3058,1.0,Airlines,Delta
3072,1.0,Airlines,CEBU PAC
3076,1.0,Airlines,Aeromexico
3079,1.0,Airlines,Jetstar Airways - Jetstar
3082,1.0,Airlines,Korean Airlines
3084,1.0,Airlines,Eva Airlines
3099,1.0,Airlines,Cathay Pacific
3132,1.0,Airlines,Frontier Airlines
3136,1.0,Airlines,Qatar Air
3180,1.0,Airlines,Westjet Airlines-WESTJET
3183,1.0,Airlines,Oman Aviation - OMAN AIR
3184,1.0,Airlines,LIAT
3187,1.0,Airlines,LACSA (Costa Rica)
3196,1.0,Airlines,Hawaiian Air
3206,1.0,Airlines,China Eastern Airlines (Abbr: China East Air)
3219,1.0,Airlines,Copa
3234,1.0,Airlines,CARIBAIR
3245,1.0,Airlines,Easy Jet - EASYJET
3246,1.0,Airlines,Ryan Air - RYANAIR
3256,1.0,Airlines,Alaska Airlines Inc.
3260,1.0,Airlines,Spirit Airlines - SPIRIT
3294,1.0,Airlines,Ethiopian Airlines
4411,2.0,Amusement and Entertainment,Steamship and Cruise Lines
7012,2.0,Amusement and Entertainment,Timeshares
7032,2.0,Amusement and Entertainment,Sporting and Recreational Camps
7033,2.0,Amusement and Entertainment,Trailer Parks and Campgrounds
7829,2.0,Amusement and Entertainment,"Motion Picture, and Video Tape Production and Distribution"
7832,2.0,Amusement and Entertainment,Motion Picture Theaters
7841,2.0,Amusement and Entertainment,Video Tape Rental Stores
7911,2.0,Amusement and Entertainment,"Dance Halls, Studios, and Schools"
7922,2.0,Amusement and Entertainment,"Theatrical Producers (except Motion Pictures), and Ticket Agencies"
7929,2.0,Amusement and Entertainment,"Bands, Orchestras, and Miscellaneous Entertainers - Not Elsewhere Classified"
7932,2.0,Amusement and Entertainment,Billiard and Pool Establishments
7933,2.0,Amusement and Entertainment,Bowling Alleys
7941,2.0,Amusement and Entertainment,"Commercial Sports, Professional Sports Clubs, Athletic Fields, and Sports Promoters"
7991,2.0,Amusement and Entertainment,Tourist Attractions and Exhibits
7992,2.0,Amusement and Entertainment,Public Golf Courses
7993,2.0,Amusement and Entertainment,Video Amusement Game Supplies
7994,2.0,Amusement and Entertainment,Video Game Arcades and Establishments
7996,2.0,Amusement and Entertainment,"Amusement Parks, Circuses, Carnivals, and Fortune Tellers"
7997,2.0,Amusement and Entertainment,"Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses"
7998,2.0,Amusement and Entertainment,"Aquariums, Seaquariums, and Dolphinariums"
